Date,Adj Close,Open,High,Low,Volume,
17/08/2016,32316,32316,32855,31709,2.61M,
18/08/2016,32316,32990,32990,32181,641.44K,
19/08/2016,32181,32383,32653,31843,1.72M,
22/08/2016,31641,32383,32383,31506,2.36M,
23/08/2016,32721,31506,32721,31304,2.50M,
24/08/2016,32721,32721,32923,32586,709.54K,
25/08/2016,32586,32721,32721,32248,955.80K,
26/08/2016,32383,32383,32586,32316,356.78K,
29/08/2016,32383,32383,32855,32383,1.27M,
30/08/2016,32451,32383,32653,32046,346.67K,
31/08/2016,32451,32383,32721,32316,714.73K,
1/9/2016,32383,32518,32586,32113,518.45K,
5/9/2016,32316,32451,32451,32113,584.12K,
6/9/2016,32316,32586,32653,32316,886.49K,
7/9/2016,32046,32451,32451,31978,763.51K,
8/9/2016,32248,32383,32383,32113,495.29K,
9/9/2016,32923,32721,32990,32518,1.36M,
12/9/2016,33598,33733,33733,32990,1.08M,
13/09/2016,33125,33395,33665,33058,582.95K,
14/09/2016,32586,33395,33395,32586,1.19M,
15/09/2016,34050,33471,34215,33058,997.38K,
16/09/2016,35537,33636,35537,33636,3.47M,
19/09/2016,34959,35537,35537,34711,541.91K,
20/09/2016,35207,34463,35537,34256,942.69K,
21/09/2016,36116,35537,36281,35207,895.15K,
22/09/2016,36364,36116,36694,36116,1.25M,
23/09/2016,36653,36446,36653,36364,562.44K,
26/09/2016,36942,36653,37190,36116,509.34K,
27/09/2016,37975,37107,37975,36942,438.96K,
28/09/2016,36901,37603,37603,36364,1.30M,
29/09/2016,37149,36901,37149,36859,263.94K,
30/09/2016,36777,36777,37025,35124,206.03K,
3/10/2016,35537,36777,36777,35537,1.27M,
4/10/2016,36364,35537,36364,35372,540.79K,
5/10/2016,36198,36612,36777,36116,307.87K,
6/10/2016,35289,36198,36198,35207,965.14K,
7/10/2016,35372,35537,35868,35041,302.84K,
10/10/2016,34793,35702,35702,34711,346.29K,
11/10/2016,34793,34876,35124,34463,372.08K,
12/10/2016,34876,34793,35372,34793,198.74K,
13/10/2016,35537,35124,35620,34628,1.33M,
14/10/2016,35537,35413,35868,35041,761.02K,
17/10/2016,35537,35537,35620,35289,656.95K,
18/10/2016,35455,35537,35537,35124,388.02K,
19/10/2016,36198,35413,36198,35289,792.39K,
20/10/2016,35785,36033,36033,35537,400.84K,
21/10/2016,35537,35785,35785,35289,909.17K,
24/10/2016,35537,35537,35537,35124,711.04K,
25/10/2016,35289,35041,35413,34959,672.41K,
26/10/2016,35083,35041,35372,34711,525.73K,
27/10/2016,35372,35041,35455,34711,1.27M,
28/10/2016,35413,35372,35702,35207,861.25K,
31/10/2016,35124,35124,35744,34959,1.19M,
1/11/2016,35331,35124,35413,35124,251.53K,
2/11/2016,34959,35372,35702,34959,583.06K,
3/11/2016,35041,34793,35372,34587,591.04K,
4/11/2016,35041,34711,35289,34711,201.61K,
7/11/2016,35331,35041,35413,34959,236.26K,
8/11/2016,35372,35289,35455,35207,425.15K,
9/11/2016,35124,35455,35455,34711,1.02M,
10/11/2016,35372,35372,35537,35207,307.41K,
11/11/2016,36364,35372,36364,35000,1.22M,
14/11/2016,35455,36116,37025,35455,1.71M,
15/11/2016,35331,35537,35950,35165,488.97K,
16/11/2016,35289,35331,35785,35207,562.80K,
17/11/2016,35289,35207,35372,34752,1.20M,
18/11/2016,35207,35537,35537,34959,455.19K,
21/11/2016,35207,35124,35207,34876,394.68K,
22/11/2016,35207,35041,35289,35041,316.12K,
23/11/2016,35289,35207,35372,35165,347.19K,
24/11/2016,35124,35289,35289,34752,749.43K,
25/11/2016,35124,34959,35124,34298,2.00M,
28/11/2016,35124,34545,35124,33967,1.34M,
29/11/2016,34298,35124,35124,34298,1.19M,
30/11/2016,34711,33926,34711,33388,1.77M,
1/12/2016,34711,34793,34876,34298,848.36K,
2/12/2016,34711,34298,34876,34298,759.38K,
5/12/2016,34669,34711,34835,34215,814.26K,
6/12/2016,34463,34628,34628,33843,681.25K,
7/12/2016,34711,34463,34793,33760,1.19M,
8/12/2016,34711,34298,34711,34298,863.58K,
9/12/2016,34711,34711,34711,34050,854.16K,
12/12/2016,34711,34380,34711,34132,915.04K,
13/12/2016,34711,34711,34711,33967,1.49M,
14/12/2016,35083,34711,35124,34380,1.01M,
15/12/2016,34711,34959,35041,34587,470.21K,
16/12/2016,35124,34711,35124,34174,3.98M,
19/12/2016,35372,35207,35785,35207,750.43K,
20/12/2016,34587,35248,35537,34587,1.06M,
21/12/2016,34215,34587,34587,34132,927.89K,
22/12/2016,34711,34380,34793,34174,807.88K,
23/12/2016,34793,34380,34793,34380,341.66K,
26/12/2016,34711,34876,34876,34628,248.61K,
27/12/2016,34959,34793,35248,34711,314.70K,
28/12/2016,34380,35083,35083,34339,1.35M,
29/12/2016,34628,34380,34752,34380,468.15K,
30/12/2016,34711,34380,34711,34380,852.32K,
3/1/2017,34380,34711,34711,34380,389.02K,
4/1/2017,34752,34380,34752,34380,380.07K,
5/1/2017,34959,34628,35041,34628,434.93K,
6/1/2017,35620,35041,35950,35000,1.03M,
9/1/2017,35702,35785,35950,35702,555.40K,
10/1/2017,35455,35702,35785,35413,523.35K,
11/1/2017,35537,35455,35909,35207,502.20K,
12/1/2017,35537,35702,35785,35413,627.81K,
13/01/2017,35785,35579,35909,35496,612.31K,
16/01/2017,35413,35785,35785,35413,302.45K,
17/01/2017,35248,35537,35537,34959,801.54K,
18/01/2017,34793,34959,35248,34793,899.60K,
19/01/2017,34711,34793,34959,34545,1.40M,
20/01/2017,34711,34835,34876,34587,864.29K,
23/01/2017,34711,34876,34876,34463,883.00K,
24/01/2017,34298,34876,34876,34298,652.87K,
25/01/2017,34711,34628,34711,34298,953.52K,
2/2/2017,35124,34959,35413,34959,472.53K,
3/2/2017,34711,35124,35124,34669,480.70K,
6/2/2017,35041,35124,35207,34711,572.55K,
7/2/2017,35372,35041,35372,34876,961.77K,
8/2/2017,35331,35455,35455,35289,405.11K,
9/2/2017,35248,35372,35413,35165,341.43K,
10/2/2017,35124,35207,35331,34752,1.01M,
13/02/2017,35124,35124,35207,34959,382.55K,
14/02/2017,35165,35207,35413,35083,600.33K,
15/02/2017,36777,35207,36942,35207,2.75M,
16/02/2017,36364,36777,36942,36364,1.05M,
17/02/2017,36364,36446,36446,36033,838.13K,
20/02/2017,37438,36198,37521,35785,972.90K,
21/02/2017,38388,37438,38843,37438,1.56M,
22/02/2017,37769,38264,38678,37603,1.07M,
